84  	какой	какой	apro	1091.7	1434.0	1474.8	1367.1	954.7	1200.7	920.1	
85  	после	после	pr	1080.1	783.6	763.8	915.9	1119.2	1405.0	1349.6	
86  	их	их	apro	1076.0	665.4	640.9	767.3	1045.1	1128.4	1156.9	
87  	работа	работа	s	1058.3	661.5	583.8	546.5	1243.8	1278.5	1273.2	
88  	без	без	pr	1018.8	1003.2	1169.5	1165.7	950.2	1162.9	1016.9	
89  	самый	самый	apro	1007.4	980.3	906.3	912.4	1120.7	1066.1	1227.3	
90  	потом	потом	advpro	1006.1	1538.3	1393.5	1499.9	796.1	1245.5	802.5	
91  	надо	надо	adv	993.2	1348.1	1497.5	1209.9	858.3	1068.6	865.5	
92  	хотеть	хотеть	v	991.3	1344.0	1372.7	1412.5	716.0	930.7	802.4	
93  	ли	ли	part	981.7	1014.9	1192.1	1212.9	1000.6	1090.3	945.6	
94  	слово	слово	s	967.9	989.9	1054.5	970.5	1217.1	1086.2	981.7	
95  	идти	идти	v	957.1	1629.5	1347.5	1090.8	978.4	1171.3	871.6	
96  	большой	большой	a	944.4	925.5	856.5	765.2	1366.8	1252.0	1099.0	
97  	должен	должен	a	944.2	669.1	647.9	670.5	840.5	985.7	1115.7	
98  	место	место	s	926.6	860.9	891.7	893.8	741.2	1046.2	974.1	
99  	иметь	иметь	v	906.7	503.0	607.8	603.0	713.0	938.8	1006.2	
100  	ничто	ничто	spro	902.8	1428.5	1376.5	1368.6	810.9	768.5	662.3
